date,open,high,low,close,volume
2018-03-26,"21,500","22,350","21,500","22,250","237,307"
2018-03-23,"21,700","21,850","21,300","21,350","164,382"
2018-03-22,"22,300","22,450","21,950","22,000","145,584"
2018-03-21,"21,950","22,450","21,850","22,350","300,441"
2018-03-20,"21,150","22,100","21,150","22,000","290,165"
2018-03-19,"21,050","21,300","21,050","21,100","139,802"
2018-03-16,"21,100","21,250","21,100","21,100","141,529"
2018-03-15,"21,000","21,200","21,000","21,100","137,348"
2018-03-14,"21,050","21,300","21,000","21,200","90,749"
2018-03-13,"21,150","21,250","21,000","21,050","108,998"
2018-03-12,"21,100","21,500","21,050","21,300","133,804"
2018-03-09,"21,100","21,250","21,000","21,100","147,470"
2018-03-08,"20,950","21,200","20,900","21,100","155,579"
2018-03-07,"21,200","21,400","20,850","20,900","155,218"
2018-03-06,"21,100","21,550","21,050","21,100","132,603"
2018-03-05,"21,450","21,750","21,000","21,000","105,782"
2018-03-02,"21,650","21,850","21,500","21,500","116,803"
2018-02-28,"22,200","22,250","21,800","22,000","136,906"
2018-02-27,"22,600","22,600","22,150","22,350","172,621"
2018-02-26,"22,200","22,500","22,050","22,500","94,843"
2018-02-23,"22,150","22,150","21,900","22,150","85,819"
2018-02-22,"21,950","22,100","21,800","22,100","74,458"
2018-02-21,"21,650","22,200","21,600","22,000","90,738"
2018-02-20,"21,850","22,000","21,650","21,700","81,226"
2018-02-19,"22,000","22,000","21,700","21,950","113,413"
2018-02-14,"21,800","21,950","21,700","21,800","82,298"
2018-02-13,"21,850","22,050","21,750","21,850","86,714"
2018-02-12,"22,050","22,200","21,800","21,950","79,536"
2018-02-09,"21,700","22,250","21,650","22,200","158,264"
2018-02-08,"21,850","22,100","21,700","22,050","191,819"
2018-02-07,"21,950","22,400","21,700","21,800","187,494"
2018-02-06,"22,000","22,200","21,500","21,900","283,295"
2018-02-05,"22,500","22,650","22,200","22,350","183,194"
2018-02-02,"23,050","23,150","22,600","22,750","177,944"
2018-02-01,"22,950","23,250","22,900","23,050","127,070"
2018-01-31,"23,250","23,250","22,800","23,000","215,531"
2018-01-30,"23,650","23,750","23,150","23,200","158,252"
2018-01-29,"23,350","23,750","23,200","23,500","163,106"
2018-01-26,"23,100","23,400","22,950","23,300","138,617"
2018-01-25,"23,450","23,500","22,950","23,000","269,793"
2018-01-24,"23,150","23,500","23,150","23,450","187,334"
2018-01-23,"22,950","23,150","22,850","23,050","158,354"
2018-01-22,"22,950","23,150","22,750","22,900","192,781"
2018-01-19,"22,950","23,100","22,450","22,900","349,609"
2018-01-18,"23,250","23,300","22,950","23,000","272,778"
2018-01-17,"23,550","23,550","23,100","23,200","196,144"
2018-01-16,"23,100","23,600","22,750","23,550","424,880"
2018-01-15,"24,200","24,250","22,500","22,900","736,486"
2018-01-12,"24,700","25,050","24,500","24,500","148,667"
2018-01-11,"24,950","25,200","24,800","24,900","321,697"
2018-01-10,"24,500","25,150","24,150","24,800","304,457"
2018-01-09,"23,800","24,750","23,750","24,500","306,033"
2018-01-08,"24,400","24,700","23,850","23,850","172,439"
2018-01-05,"24,700","24,800","24,200","24,400","224,635"
2018-01-04,"24,700","25,000","24,550","24,550","195,927"
2018-01-03,"24,200","25,050","24,100","24,800","245,119"
2018-01-02,"24,150","24,400","24,000","24,400","128,554"
